Year,CPI,rate
1914,1.0,25.84741819140559
1915,1.0,25.591503159807516
1916,7.9,23.71779718239807
1917,17.4,20.202552966267522
1918,18.0,17.120807598531798
1919,14.6,14.939622686327922
1920,15.6,12.923549036615851
1921,-10.5,14.439719593984192
1922,-6.1,15.377763145883057
1923,1.8,15.105857707154279
1924,0.0,15.105857707154279
1925,2.3,14.766234317843871
1926,1.1,14.605573014682367
1927,-1.7,14.858161764681961
1928,-1.7,15.115118784010134
1929,0.0,15.115118784010134
1930,-2.3,15.470950648935654
1931,-9.0,17.00104466916006
1932,-9.9,18.869083983529478
1933,-5.1,19.883123270315572
1934,3.1,19.28527960263392
1935,2.2,18.870136597489157
1936,1.5,18.591267583733163
1937,3.6,17.945238980437416
1938,-2.1,18.33017260514547
1939,-1.4,18.59043874761204
1940,0.7,18.461210275682266
1941,5.0,17.5821050244593
1942,10.9,15.854017154607122
1943,6.1,14.942523237141492
1944,1.7,14.692746545861842
1945,2.3,14.36241109077404
1946,8.3,13.261690757870767
1947,14.4,11.592387026110808
1948,8.1,10.723762281323598
1949,-1.2,10.854010406197974
1950,1.3,10.714719058438277
1951,7.9,9.930230823390433
1952,1.9,9.745074409607884
1953,0.8,9.66773254921417
1954,0.7,9.600528847283188
1955,-0.4,9.63908518803533
1956,1.5,9.496635653236778
1957,3.3,9.19325813478875
1958,2.8,8.942858107771157
1959,0.7,8.880693254986253
1960,1.7,8.73224508848206
1961,1.0,8.64578721631887
1962,1.0,8.560185362691952
1963,1.3,8.450331058925915
1964,1.3,8.341886533984121
1965,1.6,8.210518242110355
1966,2.9,7.979123656083922
1967,3.1,7.739208201827277
1968,4.2,7.427263149546331
1969,5.5,7.040059857389887
1970,5.7,6.6604161375495625
1971,4.4,6.37970894401299
1972,3.2,6.181888511640494
1973,6.2,5.82098729909651
1974,11.0,5.244132701888748
1975,9.1,4.806721083307743
1976,5.8,4.5432146345063735
1977,6.5,4.2659292342782855
1978,7.6,3.9646182474705256
1979,11.3,3.5621008512763033
1980,13.5,3.138414846939474
1981,10.3,2.8453443761917265
1982,6.2,2.6792319926475767
1983,3.2,2.5961550316352486
1984,4.3,2.4891227532456845
1985,3.6,2.402628140198537
1986,1.9,2.357829381941646
1987,3.6,2.2758970868162605
1988,4.1,2.186260410006014
1989,4.8,2.0861263454255856
1990,5.4,1.9792470070451476
1991,4.2,1.8994692965884332
1992,3.0,1.84414494814411
1993,3.0,1.790431988489427
1994,2.6,1.7450604176310205
1995,2.8,1.697529589135234
1996,3.0,1.6480869797429456
1997,2.3,1.6110332157800056
1998,1.6,1.5856626139566983
1999,2.2,1.5515289764742644
2000,3.4,1.5005115826636986
2001,2.8,1.4596416173771387
2002,1.6,1.4366551352137191
2003,2.3,1.404354970883401
2004,2.7,1.3674342462350548
2005,3.4,1.3224702574807106
2006,3.2,1.2814634277913861
2007,2.8,1.2465597546608813
2008,3.8,1.200924619133797
2009,-0.4,1.2057476095720854
2010,1.6,1.1867594582402414
2011,3.2,1.1499607153490712
2012,2.1,1.1263082422615782
2013,1.5,1.1096632928685501
2014,1.6,1.0921882803824312
2015,0.1,1.091097183199232
2016,1.3,1.077094948864
2017,2.1,1.054941184
2018,2.4,1.030216
2019,1.8,1.012
2020,1.2,1.0
