Year,rate,averageRating,Wikipedia movie ID,Freebase movie ID,Movie name,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Movie release year,startYear,Primary Country,Adjusted_Revenue,Log_Revenue
1994.0,1.7450604176310205,8.0,213471,/m/01f8gz,Chungking express,600200.0,102.0,"{""/m/02h40lc"": ""English Language"", ""/m/0653m"": ""Standard Mandarin"", ""/m/012w70"": ""Cantonese""}",['Hong Kong'],"['Art film', 'World cinema', 'Drama', 'Romantic drama', 'Romance Film', 'Chinese Movies']",1994,1994,Hong Kong,1047385.2626621384,13.305019878098312
1935.0,18.87013659748916,6.7,31403745,/m/09pgfyh,Whipsaw,1000000.0,82.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Crime Fiction', 'Romance Film', 'Drama']",1935,1935,United States of America,18870136.59748916,13.815511557963774
2000.0,1.5005115826636986,7.2,5579762,/m/0dtkj8,Dinner rush,638227.0,99.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Crime Fiction', 'Ensemble Film', 'Crime Comedy', 'Indie', 'Comedy-drama', 'Drama', 'Gangster Film', 'Comedy of Errors']",2000,2000,United States of America,957667.0058687043,13.366450865257791
1987.0,2.2758970868162605,6.8,21427848,/m/05f9mbk,Gaby: a true story,125400.0,110.0,"{""/m/02h40lc"": ""English Language""}","['United States of America', 'Mexico']","['Biography', 'Drama']",1987,1987,United States of America,285397.4946867591,11.73927188163082
2007.0,1.246559754660881,6.7,3140828,/m/08v03f,The air i breathe,25775.0,95.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","['United States of America', 'Mexico']","['Thriller', 'Ensemble Film', 'Crime Fiction', 'Drama']",2007,2007,United States of America,32130.07767638421,10.157199105416755
1935.0,18.87013659748916,6.8,31192915,/m/0c04tnc,"Mary burns, fugitive",513176.0,84.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],['Drama'],1935,1935,United States of America,9683701.218553098,13.148376093883773
2000.0,1.5005115826636986,6.6,2547451,/m/07m9l9,Animal factory,43805.0,95.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Crime Fiction', 'Drama', 'Prison']",2000,2000,United States of America,65729.90987858332,10.687526073284142
1995.0,1.697529589135234,6.7,1745419,/m/05spx3,Kicking and screaming,718490.0,96.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['LGBT', 'Romantic comedy', 'Indie', 'Ensemble Film', 'Comedy of manners', 'Comedy-drama', 'Coming of age', 'Comedy', 'Drama', 'Romance Film']",1995,1995,United States of America,1219658.0344977742,13.48490845832673
2010.0,1.1867594582402414,7.4,28847751,/m/0db76pq,Even the rain,558342.0,103.0,"{""/m/06b4d"": ""Quechua"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","['France', 'Spain', 'Mexico']","['History', 'Drama']",2010,2010,France,662617.6494327729,13.232728747856154
1960.0,8.73224508848206,7.7,339526,/m/01xxhh,Breathless,67464.0,90.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","['United States of America', 'France']","['Crime Fiction', 'Art film', 'World cinema', 'Black-and-white', 'Drama', 'Romance Film', 'Neo-noir']",1960,1960,United States of America,589112.1826493536,11.119364223864888
1939.0,18.59043874761204,7.0,6034681,/m/0flpz3,In name only,1321000.0,94.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romance Film', 'Drama', 'Black-and-white']",1939,1939,United States of America,24557969.585595507,14.093900340506448
