Year,rate,averageRating,Wikipedia movie ID,Freebase movie ID,Movie name,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Movie release year,startYear,Primary Country,Adjusted_Revenue,Log_Revenue
2011.0,1.1499607153490712,6.4,30548208,/m/0g9wdmc,The iron lady,114943631.0,104.0,"{""/m/02h40lc"": ""English Language""}","['France', 'United Kingdom']","['Biography', 'Drama']",2011,2011,France,132180660.12957968,18.55995240963981
2007.0,1.246559754660881,6.2,1964091,/m/069dl1,Next,76066841.0,95.0,"{""/m/064_8sq"": ""French Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Thriller', 'Science Fiction', 'Action']",2007,2007,United States of America,94821862.65478826,18.147123011717103
2010.0,1.1867594582402414,5.8,22358819,/m/05szq8z,Clash of the titans,493214993.0,96.0,"{""/m/02h40lc"": ""English Language""}","['United States of America', 'United Kingdom']","['Adventure', 'Remake', 'Action/Adventure', 'Fantasy', 'Drama', 'Action']",2010,2010,United States of America,585327557.8886445,20.0164557302522
1997.0,1.6110332157800056,6.0,706803,/m/034f7w,G.i. jane,97169156.0,125.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Action', 'Drama']",1997,1997,United States of America,156542737.86530903,18.391963904260855
2008.0,1.200924619133797,5.3,5884079,/m/0fbrd7,Bangkok dangerous,82486154.0,97.0,"{""/m/02h40lc"": ""English Language"", ""/m/0c_v2"": ""Thai Language""}",['United States of America'],"['Crime Fiction', 'Thriller', 'Gangster Film', 'Action/Adventure', 'Crime Thriller', 'Action']",2008,2008,United States of America,99059653.07626173,18.228141019040045
2010.0,1.1867594582402414,6.0,22224559,/m/07ykkx5,The last song,89041656.0,107.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Coming of age', 'Drama', 'Film adaptation', 'Romantic drama', 'Romance Film', 'Teen']",2010,2010,United States of America,105671027.43537395,18.304614874372064
1986.0,2.357829381941646,6.2,1472852,/m/0547w5,Down and out in beverly hills,91411255.0,103.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Black comedy', 'Comedy of manners', 'Remake', 'Comedy', 'Domestic Comedy']",1986,1986,United States of America,215532142.8791602,18.330879179826603
2001.0,1.4596416173771387,5.4,570743,/m/02r4y1,Down to earth,71186502.0,87.0,"{""/m/02h40lc"": ""English Language""}","['United States of America', 'Australia', 'Canada', 'Germany']","['Romantic comedy', 'Romance Film', 'Fantasy', 'Comedy']",2001,2001,United States of America,103906780.91470093,18.08081379380582
2003.0,1.404354970883401,4.9,256337,/m/01l_pn,Charlie's angels: full throttle,259175788.0,105.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}",['United States of America'],"['Crime Fiction', 'Adventure', 'Action Comedy', 'Action/Adventure', 'Martial Arts Film', 'Comedy', 'Action']",2003,2003,United States of America,363974806.2104225,19.373017111443918
2011.0,1.1499607153490712,5.9,26554437,/m/0bh6zg4,Hall pass,83160734.0,109.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy']",2011,2011,United States of America,95631577.15959382,18.236285859298867
2008.0,1.200924619133797,5.7,14291637,/m/03c_lhp,Fool's gold,111231041.0,112.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic comedy', 'Adventure', 'Action/Adventure', 'Comedy', 'Romance Film', 'Action']",2008,2008,United States of America,133580095.54878075,18.5271200555006
2001.0,1.4596416173771387,6.0,366111,/m/01__75,Shallow hal,141069860.0,113.0,"{""/m/02h40lc"": ""English Language""}","['United States of America', 'Germany']","['Romantic comedy', 'Fantasy', 'Comedy', 'Drama', 'Romance Film', 'Fantasy Comedy', 'Comedy of Errors']",2001,2001,United States of America,205911438.61356652,18.764765793723765
2007.0,1.246559754660881,5.6,8850105,/m/027lz0c,Because i said so,69485490.0,98.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic comedy', 'Romance Film', 'Drama', 'Domestic Comedy', 'Comedy']",2007,2007,United States of America,86617815.3668911,18.05662852615115
2011.0,1.1499607153490712,6.2,19787914,/m/0bwhdbl,Scream 4,97138686.0,111.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Parody', 'Thriller', 'Horror', 'Mystery', 'Horror Comedy', 'Slasher', 'Teen']",2011,2011,United States of America,111705672.8406288,18.391650278216506
2004.0,1.3674342462350548,6.3,607444,/m/02vzpb,13 going on 30,96455697.0,97.0,"{""/m/05zjd"": ""Portuguese Language"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic comedy', 'Fantasy', 'Comedy', 'Coming of age', 'Romance Film', 'Fantasy Comedy']",2004,2004,United States of America,131896823.32227184,18.384594372813115
1998.0,1.5856626139566985,5.9,365039,/m/01_wsl,Six days seven nights,164839294.0,102.0,"{""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic comedy', 'Adventure', 'Action/Adventure', 'Comedy', 'Romance Film', 'Action']",1998,1998,United States of America,261379505.80681673,18.9204815875512
2005.0,1.3224702574807106,6.3,2296056,/m/071qr3,Sky high,86369815.0,100.0,"{""/m/02h40lc"": ""English Language"", ""/m/012w70"": ""Cantonese""}",['United States of America'],"['Science Fiction', 'Adventure', 'Superhero movie', 'Action/Adventure', ""Children's"", 'Coming of age', 'Comedy', 'Fantasy', 'Family Film', 'Teen']",2005,2005,United States of America,114221511.48161134,18.274148820884857
1997.0,1.6110332157800056,5.5,545187,/m/02nlfw,Volcano,122823468.0,103.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Disaster', 'Thriller', 'Action', 'Drama', 'Action/Adventure']",1997,1997,United States of America,197872686.6252926,18.626258671052227
