Actor name,Appearance Count
Steve Buscemi,6
Barbara Stanwyck,6
Liv Tyler,5
James Mason,5
Rainn Wilson,5
Henry Fonda,5
Aidan Quinn,5
Bette Davis,5
Wallace Ford,5
Joseph Gordon-Levitt,4
Spencer Tracy,4
Sylvia Sidney,4
Paul Kelly,4
Xander Berkeley,4
Edmund Gwenn,4
Lee Marvin,4
James Caan,4
Sam Neill,4
Michael Rennie,4
Richard Basehart,4
